#           k/h    P           
   0.273051E+03   0.374760E-05
   0.278567E+03   0.353212E-05
   0.284195E+03   0.332860E-05
   0.289936E+03   0.313641E-05
   0.295793E+03   0.295493E-05
   0.301768E+03   0.278357E-05
   0.307864E+03   0.262179E-05
   0.314084E+03   0.246908E-05
   0.320428E+03   0.232493E-05
   0.326902E+03   0.218888E-05
   0.333505E+03   0.206050E-05
   0.340243E+03   0.193936E-05
   0.347116E+03   0.182508E-05
   0.354128E+03   0.171728E-05
   0.361282E+03   0.161560E-05
   0.368581E+03   0.151972E-05
   0.376026E+03   0.142932E-05
   0.383623E+03   0.134408E-05
   0.391372E+03   0.126374E-05
   0.399279E+03   0.118802E-05
   0.407344E+03   0.111666E-05
   0.415573E+03   0.104943E-05
   0.423968E+03   0.986104E-06
   0.432533E+03   0.926459E-06
   0.441271E+03   0.870297E-06
   0.450185E+03   0.817423E-06
   0.459279E+03   0.767655E-06
   0.468558E+03   0.720818E-06
   0.478023E+03   0.676748E-06
   0.487680E+03   0.635289E-06
   0.497532E+03   0.596294E-06
   0.507582E+03   0.559621E-06
   0.517837E+03   0.525142E-06
   0.528297E+03   0.492731E-06
   0.538970E+03   0.462272E-06
   0.549857E+03   0.433654E-06
   0.560966E+03   0.406771E-06
   0.572298E+03   0.381523E-06
   0.583859E+03   0.357815E-06
   0.595653E+03   0.335558E-06
   0.607687E+03   0.314666E-06
   0.619962E+03   0.295059E-06
   0.632487E+03   0.276662E-06
   0.645264E+03   0.259401E-06
   0.658299E+03   0.243210E-06
   0.671597E+03   0.228023E-06
   0.685165E+03   0.213781E-06
   0.699006E+03   0.200426E-06
   0.713127E+03   0.187904E-06
   0.727533E+03   0.176165E-06
   0.742230E+03   0.165160E-06
   0.757224E+03   0.154845E-06
   0.772521E+03   0.145178E-06
   0.788127E+03   0.136118E-06
   0.804048E+03   0.127627E-06
   0.820291E+03   0.119669E-06
   0.836862E+03   0.112212E-06
   0.853768E+03   0.105223E-06
   0.871015E+03   0.986720E-07
   0.888611E+03   0.925326E-07
   0.906563E+03   0.867784E-07
   0.924875E+03   0.813851E-07
   0.943559E+03   0.763300E-07
   0.962621E+03   0.715918E-07
   0.982068E+03   0.671504E-07
   0.100191E+04   0.629870E-07
   0.102215E+04   0.590838E-07
   0.104279E+04   0.554243E-07
   0.106386E+04   0.519928E-07
   0.108535E+04   0.487750E-07
   0.110728E+04   0.457573E-07
   0.112965E+04   0.429270E-07
   0.115247E+04   0.402723E-07
   0.117575E+04   0.377821E-07
   0.119950E+04   0.354461E-07
