#           k/h    P           
   0.727533E+03   0.119504E-05
   0.742230E+03   0.111992E-05
   0.757224E+03   0.104953E-05
   0.772521E+03   0.983576E-06
   0.788127E+03   0.921779E-06
   0.804048E+03   0.863881E-06
   0.820291E+03   0.809634E-06
   0.836862E+03   0.758809E-06
   0.853768E+03   0.711188E-06
   0.871015E+03   0.666568E-06
   0.888611E+03   0.624762E-06
   0.906563E+03   0.585589E-06
   0.924875E+03   0.548884E-06
   0.943559E+03   0.514491E-06
   0.962621E+03   0.482264E-06
   0.982068E+03   0.452065E-06
   0.100191E+04   0.423767E-06
   0.102215E+04   0.397248E-06
   0.104279E+04   0.372395E-06
   0.106386E+04   0.349101E-06
   0.108535E+04   0.327270E-06
   0.110728E+04   0.306807E-06
   0.112965E+04   0.287626E-06
   0.115247E+04   0.269646E-06
   0.117575E+04   0.252791E-06
   0.119950E+04   0.236991E-06
