#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.968149E-01   0.102067E+07   0.100457E+07   0.235817E+02   0.235815E+02   0.373322E+05   0.101402E+07   0.101814E+07   0.101402E+07  -0.798467E-01   0.983134E+06   0.982774E+06   0.130307E+01
   0.995641E-01   0.982105E+06   0.966062E+06   0.214526E+02   0.214524E+02   0.343547E+05   0.975615E+06   0.979584E+06   0.975615E+06  -0.768225E-01   0.945904E+06   0.945545E+06   0.126217E+01
   0.102313E+00   0.947340E+06   0.931618E+06   0.195950E+02   0.195949E+02   0.317236E+05   0.941036E+06   0.944870E+06   0.941036E+06  -0.740996E-01   0.912381E+06   0.912032E+06   0.119534E+01
   0.105062E+00   0.916329E+06   0.901170E+06   0.179746E+02   0.179744E+02   0.294054E+05   0.910233E+06   0.913947E+06   0.910233E+06  -0.716741E-01   0.882518E+06   0.882186E+06   0.110743E+01
   0.107812E+00   0.888862E+06   0.874474E+06   0.165587E+02   0.165586E+02   0.273610E+05   0.882993E+06   0.886601E+06   0.882993E+06  -0.695292E-01   0.856108E+06   0.855799E+06   0.100436E+01
   0.110561E+00   0.864582E+06   0.851124E+06   0.153168E+02   0.153167E+02   0.255509E+05   0.858953E+06   0.862467E+06   0.858953E+06  -0.676362E-01   0.832799E+06   0.832517E+06   0.892596E+00
   0.113310E+00   0.843018E+06   0.830591E+06   0.142207E+02   0.142206E+02   0.239390E+05   0.837634E+06   0.841065E+06   0.837634E+06  -0.659575E-01   0.812128E+06   0.811876E+06   0.778566E+00
   0.116059E+00   0.823628E+06   0.812274E+06   0.132452E+02   0.132451E+02   0.224921E+05   0.818488E+06   0.821844E+06   0.818488E+06  -0.644498E-01   0.793562E+06   0.793341E+06   0.668201E+00
   0.118808E+00   0.805842E+06   0.795541E+06   0.123683E+02   0.123682E+02   0.211798E+05   0.800936E+06   0.804224E+06   0.800936E+06  -0.630678E-01   0.776543E+06   0.776351E+06   0.566577E+00
   0.121558E+00   0.789095E+06   0.779776E+06   0.115714E+02   0.115714E+02   0.199745E+05   0.784408E+06   0.787631E+06   0.784408E+06  -0.617663E-01   0.760516E+06   0.760351E+06   0.477656E+00
